/* DATA DESCRIPTION:
Citation:	Schmieder, Frank (2004): Susceptibility versus depth and age of sediment core GeoB6425-2. PANGAEA, https://doi.org/10.1594/PANGAEA.219636
Related to:	Schmieder, Frank (2004): Magnetic signals in Plio-Pleistocene sediments of the South Atlantic: Chronostratigraphic usability and paleooceanographic implications. In: Wefer, G; Mulitza, S & Ratmeyer, V (eds.), The South Atlantic in the Late Quaternary: Reconstruction of Material Budgets and Current Systems, Springer, Berlin, Heidelberg, New York, 261-277, https://doi.org/10.1007/978-3-642-18917-3_13
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261)
Coverage:	LATITUDE: -33.825200 * LONGITUDE: -23.587300
	DATE/TIME START: 2000-03-02T08:02:00 * DATE/TIME END: 2000-03-02T08:02:00
	MINIMUM DEPTH, sediment/rock: 0.01 m * MAXIMUM DEPTH, sediment/rock: 10.71 m
Event(s):	GeoB6425-2 * LATITUDE: -33.825200 * LONGITUDE: -23.587300 * DATE/TIME: 2000-03-02T08:02:00 * ELEVATION: -4352.0 m * Recovery: 10.89 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: geology and geophysics, CTD at 50 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Susceptibility, volume [10**-6 SI] (kappa) * PI: Schmieder, Frank (schmiede@uni-bremen.de) * METHOD/DEVICE: Bartington MS2F spot sensor
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1057 data points
*/
Depth [m]	Age [ka BP]	kappa [10**-6 SI]
0.01	0.96	168.30
0.02	1.91	211.80
0.03	2.87	219.00
0.04	3.83	213.60
0.05	4.78	210.00
0.06	5.74	206.30
0.07	6.70	206.30
0.08	7.65	213.60
0.09	8.61	215.40
0.10	9.57	226.30
0.11	10.52	238.90
0.12	11.48	258.80
0.13	12.43	275.10
0.14	13.39	305.90
0.15	14.35	331.20
0.16	15.30	345.70
0.17	16.26	334.90
0.18	17.22	322.20
0.19	18.17	351.10
0.20	19.13	372.90
0.21	20.09	369.20
0.22	21.04	360.20
0.23	22.00	371.10
0.24	22.90	372.90
0.25	23.80	363.80
0.26	24.69	356.60
0.27	25.59	342.10
0.28	26.49	338.50
0.29	27.39	334.90
0.30	28.29	322.20
0.31	29.18	296.80
0.32	30.08	282.40
0.33	30.98	276.90
0.34	31.88	280.60
0.35	32.77	276.90
0.36	33.67	273.30
0.37	34.57	266.10
0.38	35.47	269.70
0.39	36.37	275.10
0.40	37.26	271.50
0.41	38.16	271.50
0.42	39.06	257.00
0.43	39.96	255.20
0.44	40.86	249.80
0.45	41.75	246.20
0.46	42.65	240.70
0.47	43.55	233.50
0.48	44.45	231.70
0.49	45.35	237.10
0.50	46.24	229.90
0.51	47.14	235.30
0.52	48.04	251.60
0.53	48.94	262.50
0.54	49.83	253.40
0.55	50.73	238.90
0.56	51.63	229.90
0.57	52.53	240.70
0.58	53.43	255.20
0.59	54.32	260.60
0.60	55.22	258.80
0.61	56.12	280.60
0.62	57.02	276.90
0.63	57.92	296.80
0.64	58.81	304.10
0.65	59.71	286.00
0.66	60.61	324.00
0.67	61.51	360.20
0.68	62.41	392.80
0.69	63.30	400.00
0.70	64.20	396.40
0.71	65.10	400.00
0.72	66.00	427.20
0.73	67.38	418.10
0.74	68.77	407.30
0.75	70.15	403.60
0.76	71.54	392.80
0.77	72.92	380.10
0.78	74.31	391.00
0.79	75.69	410.90
0.80	77.08	387.30
0.81	78.46	358.40
0.82	79.85	343.90
0.85	84.00	235.30
0.86	84.57	282.40
0.87	85.14	300.50
0.88	85.71	304.10
0.89	86.29	325.80
0.90	86.86	324.00
0.91	87.43	305.90
0.92	88.00	324.00
